image_path,text,label
images/handbag_001.jpg,Red leather handbag with gold chain strap,1
images/handbag_002.jpg,Blue cotton t-shirt,0
images/tshirt_001.jpg,White cotton crew neck t-shirt,1
images/tshirt_002.jpg,Black leather boots,0
images/mug_001.jpg,White ceramic coffee mug with handle,1
images/mug_002.jpg,Wooden dining table,0
images/shoes_001.jpg,Black leather oxford shoes,1
images/shoes_002.jpg,Red leather handbag,0
images/watch_001.jpg,Silver stainless steel watch with leather strap,1
images/watch_002.jpg,Blue denim jeans,0
images/jeans_001.jpg,Blue denim jeans with straight leg fit,1
images/jeans_002.jpg,White ceramic mug,0
images/laptop_001.jpg,15 inch silver laptop computer,1
images/laptop_002.jpg,Green backpack,0
images/backpack_001.jpg,Black nylon backpack with multiple compartments,1
